gid,imgurl,name,salePrice,marketPrice,store
1305,https://www.nanshig.com/data/upload/shop/store/goods/47/47_06095305151751796_360.jpg,男t恤五分袖ins夏季上衣服韩版潮流2019新款嘻哈潮牌帅气 黑色上衣 M,89.00 ,128.00 ,潮男公社
1306,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05982354899298264_360.jpg,冬季情侣连帽面包服男士帅气短款棉衣韩版宽松加厚棉袄潮男装外套 黑色 S,169.00 ,218.00 ,好男孩潮品铺
1307,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05982353372811636_360.jpg,冬季情侣连帽棉衣男士宽松帅气面包服韩版加厚棉袄潮男装外套棉服 军绿色 S,179.00 ,218.00 ,好男孩潮品铺
1308,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05982351569257288_360.jpg,冬季休闲工装棉服男士宽松拼接棉衣韩版百搭加厚棉袄潮流男装外套 绿色 S,149.00 ,189.00 ,好男孩潮品铺
1309,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05982349565989895_360.jpg,冬季情侣连帽面包服男士帅气短款棉衣韩版休闲棉袄潮男装加厚外套 灰色 S,189.00 ,218.00 ,好男孩潮品铺
1310,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05982346005548882_360.jpg,冬季胖子棉衣男士灯芯绒加厚棉服韩版个性外套加肥大码潮男装棉袄 黄色 S,169.00 ,198.00 ,好男孩潮品铺
1311,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05977681498246100_360.jpg,冬季胖子加厚棉衣男士加肥大码面包服韩版百搭棉袄外套个性潮男装 黑色 S,178.00 ,218.00 ,好男孩潮品铺
1312,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05977679217962590_360.jpg,冬季羊羔毛加绒加厚外套男士棉服韩版帅气棉衣潮流短款情侣装棉袄 黑色 S,159.00 ,198.00 ,好男孩潮品铺
1313,https://www.nanshig.com/data/upload/shop/store/goods/39/39_05977667423494467_360.jpg,冬季加厚羊羔绒毛短款外套男士修身帅气棉衣韩版休闲情侣棉袄潮装 灰色 S,169.00 ,218.00 ,好男孩潮品铺
1314,https://www.nanshig.com/data/upload/shop/store/goods/34/34_05967532963793338_360.jpg,秋冬装新款2018港风夹克男士外套韩版潮流休闲学生上衣纯色棒球服 黑色 M,169.00 ,218.00 ,衣品家
1315,https://www.nanshig.com/data/upload/shop/store/goods/34/34_05967528436656758_360.jpg,2018新款男女情侣日系复古牛仔外套秋季韩版潮流时尚小清新夹克衫 深蓝色 M,139.00 ,198.00 ,衣品家
1316,https://www.nanshig.com/data/upload/shop/store/goods/34/34_05967525036632821_360.jpg,2018秋季新款港风街头嘻哈加肥大码青少年个性夹克韩版休闲男装潮 花色 M,159.00 ,218.00 ,衣品家
1317,https://www.nanshig.com/data/upload/shop/store/goods/34/34_05967521268194174_360.jpg,冬季ulzzang夹克男士外套棒球服学生韩版潮流运动外衣宽松胖男装 灰色 M,189.00 ,218.00 ,衣品家
1318,https://www.nanshig.com/data/upload/shop/store/goods/34/34_05962462680786488_360.jpg,冬季男棉衣2018新款短款连帽棉袄韩版加厚休闲面包服男装潮牌外套 黑色 M,178.00 ,218.00 ,衣品家
1319,https://www.nanshig.com/data/upload/shop/store/goods/25/25_05961439678003802_360.jpg,春秋季新款男士毛衣韩版套头薄款圆领针织衫休闲线衣外套潮流 黑色 M,89.00 ,89.00 ,潮衣格
1320,https://www.nanshig.com/data/upload/shop/store/goods/25/25_05961435788059457_360.jpg,冬季男士毛衣半高领针织衫2018新款潮流加绒加厚款毛衫韩版打底衫 黑色 M,89.00 ,138.00 ,潮衣格
1321,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05960736607098325_360.jpg,新款冬季男士外套春秋装休闲夹克ins加绒厚韩版潮流学生衣服 灰色 M,159.00 ,218.00 ,潮男搭配师
1322,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05960729469786657_360.jpg,冬季新款男士牛仔外套加绒加厚保暖棉衣韩版修身潮流大码夹克 黑色 M,158.00 ,398.00 ,潮男搭配师
1323,https://www.nanshig.com/data/upload/shop/store/goods/25/25_05409995396529226_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05264793123278184_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05409995368926360_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05409995467829414_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05409995503063264_360.jpg,秋冬款日系圆领套头毛衣男韩版修身型针织衫青年潮流长袖拼色线衣 黑色 M,98.00 ,198.00 ,潮衣格
1324,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05923387106302358_360.jpg,卫衣男青少年学生早秋款韩版潮流修身秋季男士外套长袖T恤上衣服 黑色 M,89.00 ,158.00 ,潮男搭配师
1325,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05923385552023978_360.jpg,2018早秋卫衣韩版潮流修身圆领套头衫青少年学生百搭春秋男士外套 黑色 M,89.00 ,158.00 ,潮男搭配师
1326,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05923383295317790_360.jpg,男士卫衣连帽春秋款青少年学生秋装韩版潮流长袖T恤帅秋季上衣服 黑色 M,89.00 ,158.00 ,潮男搭配师
1327,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05923380156947849_360.jpg,男士外套春秋韩版修身薄2018新款秋季潮流帅气男秋装百搭休闲夹克 灰色 M,89.00 ,168.00 ,潮男搭配师
1328,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05923376458900934_360.jpg,秋装牛仔外套男迷彩学生港式bf风工装夹克潮流帅气男士牛仔褂上衣 灰色 M,138.00 ,198.00 ,潮男搭配师
1329,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05906254977134950_360.jpg,春季2018新款马甲韩版棉衣背心男士修身棉服潮流冬季羽绒马夹外套 黑色 M,118.00 ,299.00 ,潮男搭配师
1330,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05906251516314185_360.jpg,春季2018新款马甲韩版棉衣背心男士修身棉服潮流冬季羽绒马夹外套 黑色 M,108.00 ,199.00 ,潮男搭配师
1331,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05906246257217290_360.jpg,2018新款加厚加绒棉袄冬季男士外套个性棉衣修身韩版棉服潮流帅气 黑色 M反季折扣价 反季不买 当季被宰,128.00 ,299.00 ,潮男搭配师
1332,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05874393794974609_360.jpg,斯潮 爆款新品大吉大利晚上吃鸡绝地求生短袖宽松潮流体t恤港风男 黑色 M,69.00 ,89.00 ,潮男搭配师
1333,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05874389236364258_360.jpg,斯潮港风原宿情侣简约圆领字母印花短袖T恤韩版青少年百搭个性潮 蓝色 M,68.00 ,98.00 ,潮男搭配师
1334,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05860525139062365_360.jpg,春夏季白色打底衫男韩版修身紧身健身纯棉短袖t恤男士体恤衫潮流 黑色 M,78.00 ,99.00 ,潮男搭配师
1335,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05852291601901769_360.jpg,新款潮2018春夏男女纯棉情侣印花短袖T恤宽松半袖 港风 黑色 M,79.00 ,92.00 ,潮男搭配师
1336,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05852281830449534_360.jpg,斯潮 男士短袖抖音爆款夏季韩版潮流宽松文艺风T恤个性衣服五分袖 红色 S,89.00 ,96.00 ,潮男搭配师
1337,https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285902647288_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285533371836_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285922582370_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285964631507_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285974937220_360.jpg,冬季呢子外套男士毛呢大衣韩版潮流中长款男风衣双排扣西装领大衣 黑色 M,178.00 ,349.00 ,潮衣格
1338,https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675276340283591_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277045075834_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277053240062_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277089252879_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277123083731_360.jpg,秋冬新款男士毛呢大衣中长款韩版宽松chic外套男风衣呢子外套青年 黑色 M,179.00 ,369.00 ,潮衣格
1339,https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669550980859227_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551311837333_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551330558918_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551350122709_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551379231778_360.jpg,立领棉衣男长款冬季加厚外套韩版修身冬天保暖棉服男冬装青年棉袄 黑色 M,198.00 ,399.00 ,衣品轩
1340,https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023215048189_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600022467387465_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023158309144_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023234649355_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023287488660_360.jpg,夏季无袖t恤背心男运动宽松韩版大码棉麻坎肩亚麻沙滩休闲汗衫潮 白色 M,59.00 ,118.00 ,顺兴男士潮流
1341,https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600012650116550_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600012942964800_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600013006263937_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600013081890986_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600013104759660_360.jpg,原创设计迷彩套头连帽卫衣男外套青少年学生宽松嘻哈风秋冬季 迷彩色 M,189.00 ,369.00 ,顺兴男士潮流
1342,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322019165313_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322257817503_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322518386229_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322525133187_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322464399662_360.jpg,牛仔外套男港仔个性拼色秋冬新款学生原宿bf宽松洗水牛仔夹克衣潮 蓝色 M,139.00 ,278.00 ,顺潮服装
1343,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598318851979418_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319324368576_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319581501819_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319560598200_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319522419825_360.jpg,韩版宽松牛仔外套男学生秋冬装新款原宿bf风简约青少年夹克上衣潮 蓝色 M,139.00 ,278.00 ,顺潮服装
1344,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598317733504200_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598317963350444_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598317997601072_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598318035655635_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598318059651178_360.jpg,秋冬新款牛仔外套男宽松破洞韩版潮流夹克原宿风外套牛仔衣 蓝色 M,138.00 ,276.00 ,顺潮服装
1345,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598312918264411_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313241516180_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313315950251_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313359514618_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313366520696_360.jpg,个性国潮风中长款牛仔外套男款青少年秋装日系宽松bf原宿夹克衫 黑色 M,139.00 ,278.00 ,顺潮服装
1346,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598198901255035_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598198398375179_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598199092995504_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598199104460858_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598198987867592_360.jpg,秋季新款虎头刺绣可拆卸领宽松ov舒适PU皮夹克男短款皮衣BF风外套 黑色 M,169.00 ,338.00 ,顺潮服装
1347,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178196464532_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598177256240172_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178374276703_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178364050107_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178367355725_360.jpg,男军绿色宽松工装夹克韩版原宿潮男时髦毛边贴布秋装外套 黑色 M,139.00 ,278.00 ,顺潮服装
1348,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598172561798497_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173161451124_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173368191497_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173385521680_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173389051073_360.jpg,男韩版秋装新款长袖皮夹克青年落肩袖机车服外穿短款皮衣潮 黑色 M,169.00 ,338.00 ,顺潮服装
1349,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598166078637780_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598165586832897_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598165893588494_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598166057035167_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598166082209726_360.jpg,秋季新款个性下摆磨破时尚潮男中长款牛仔风衣 水洗牛仔衣 深蓝色 M,158.00 ,316.00 ,顺潮服装
1350,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154453862773_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598153857671538_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154280090257_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154420389478_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154470986508_360.jpg,秋装 原宿风做旧字母印花复古针织开衫潮男外搭毛衣外套 灰色 M,138.00 ,276.00 ,顺潮服装
